WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	final_definition	final_gloss	final_uni_lemma
sh35	T19	household	شانه			comb	comb (object)		شانه	comb	comb (object)
sh36		household	شمع	candle	candle				شمع	candle	candle
sh37		household	شیشه (شیر)	bottle (of milk)	bottle				شیشه (شیر)	bottle (of milk)	bottle
sh38	T22	household	صابون	soap	soap				صابون	soap	soap
sh39		household	ظرف	container	box	box / plate			ظرف	box / plate	box
sh40		household	عکس	picture	picture				عکس	picture	picture
sh41		household	عینک	glasses	glasses				عینک	glasses	glasses
sh42		household	قاشق	spoon	spoon				قاشق	spoon	spoon
sh43		household	قوری			teapot	teapot		قوری	teapot	teapot
sh44		household	قیچی	scissors	scissors				قیچی	scissors	scissors
sh45		household	کاسه	bowl	bowl				کاسه	bowl	bowl
sh46		household	کاغذ	paper	paper				کاغذ	paper	paper
sh47		household	کبریت	matches			matches		کبریت	matches	matches
sh48		household	کتری			kettle	kettle		کتری	kettle	kettle
sh49		household	کلید	key	keys				کلید	key	keys
sh50		household	کنترل			remote control	remote control		کنترل	remote	remote control
sh51		household	کیف	bag	bag				کیف	bag	bag
sh52		household	لامپ	lamp	lamp				لامپ	lamp	lamp
sh53		household	لیف			washcloth			لیف	washcloth	
sh54		household	لیوان	glass	glass				لیوان	glass	glass
sh55		household	مسواک	toothbrush	toothbrush				مسواک	toothbrush	toothbrush
sh56		household	نخ	thread			thread		نخ	thread	
sh57		household	نمکدان	salt shaker			salt		نمکدان	salt shaker	
xarejemanzel1		outside	اتش	fire	fire				اتش	fire	fire
x2		outside	ادم برفی	snowman	snowman			The correct spelling is آدم برفی	آدم برفی	snowman	snowman
x3		outside	اسمان	sky	sky				اسمان	sky	sky
x4		outside	ابر	cloud	cloud				ابر	cloud	cloud
x5		outside	باد	wind	wind				باد	wind	wind
x6	M6	outside	باران	rain	rain				باران	rain	rain
x7		outside	بام (پشت بام)	roof	roof				بام (پشت بام)	roof	roof
x8	M8	outside	برف	snow	snow				برف	snow	snow
x9		outside	برگ	leaves	leaf				برگ	leaves	leaf
x10		outside	بیل	bill		"shovel, spade"	"shovel, spade"		بیل	shovel / spade	shovel
x11		outside	پرچم	flag					پرچم	flag	
x12		outside	پیاده رو	sidewalk					پیاده رو	sidewalk	sidewalk
x13		outside	حوض (استخر)	pool	pool	also: pond	water (not beverage)		حوض (استخر)	pool / pond	pool
x14		outside	خاک	soil	soil				خاک	soil	soil
x15	M15	outside	خورشید	sun	sun				خورشید	sun	sun
x16		outside	خیابان	street	street				خیابان	street	street
x17	M16	outside	درخت	tree	tree				درخت	tree	tree
x18		outside	دود	smoke					دود	smoke	
x19		outside	زمین	earth	earth				زمین	earth	earth
x20		outside	ساقه	stem			stem		ساقه	stem	
x21		outside	ستاره	star	star				ستاره	star	star
x22		outside	سرسره	slide			slide (object)		سرسره	slide	slide (object)
x23		outside	سنگ	rock	rock (object)				سنگ	rock	rock (object)
x24		outside	شلنگ			hose			شلنگ	hose	
x25		outside	علف (سبزه)	grass	grass				علف (سبزه)	grass	grass
x26		outside	گل	flower	flower				گل	flower	flower
x27		outside	گِل	flower	flower	mud	soil		گِل	flower	flower
x28	M25	outside	ماه	month		moon	moon		ماه	moon	moon
x29		outside	هوا	air			air		هوا	air	air
harfetarif.meqdar1	C1	quantifiers	بیشتر	more	more				بیشتر	more	more
harfetarif2	C2	quantifiers	خیلی	very		"also: many, much"	many		خیلی	very	many
harfetarif3		quantifiers	دیگه	other	other				دیگه	other	other
harfetarif4	W24	quantifiers	زیاد	much	much				زیاد	much	much
harfetarif5		quantifiers	یه کم( یه ذره)	a little	little (amount)				یه کم( یه ذره)	a little	little (amount)
harfetarif6		quantifiers	مثلِ ( شکلِ)			like	like (preposition)	preposition	مثلِ ( شکلِ)	like	
harfetarif7		quantifiers	هر	any	any				هر	any	any
harfetarif8		quantifiers	همه- همش	all	all				همه- همش	all	all
harfetarif9		quantifiers	هیچی	nothing	nothing				هیچی	nothing	nothing
harfetarif10		quantifiers	هیچ کدوم	none	none				هیچ کدوم	none	none
harfetarif11		quantifiers	یک	one			one		یک	one	one
zaman1		time_words	الان	now	now				الان	now	now
z2	R1	time_words	امروز	today	today				امروز	today	today
z3		time_words	بعد	next			next		بعد	next	next
z4		time_words	دیروز	yesterday	yesterday				دیروز	yesterday	yesterday
z5	R5	time_words	روز	day	day				روز	day	day
z6		time_words	زود	soon			soon		زود	soon	soon
z7	R6	time_words	شب	night	night				شب	night	night
z8	R7	time_words	صبح	morning	morning				صبح	morning	morning
z9		time_words	ظهر	noon			noon		ظهر	noon	
z10		time_words	عصر	evening	evening				عصر	evening	evening
z11	R8	time_words	فردا	tomorrow	tomorrow				فردا	tomorrow	tomorrow
z12		time_words	قبل	before	before				قبل	before	before
zamir1		pronouns	ان (اون)			that	that	The correct spelling of the first word is آن	آن (اون)	that	that
zamir2		pronouns	انها			they	3PL	The correct spelling is آنها	آنها	they	
zamir3		pronouns	او (اون)	he (she)		he/she	3SG		او (اون)	he / she	
zamir4	X2	pronouns	این	this	this				این	this	this
zamir5	X4	pronouns	اینها	these	these				اینها	these	these
zamir6	X6	pronouns	تو	you	you		2SG		تو	you	you
zamir7		pronouns	خودت	yourself			2SG.REFL		خودت	yourself	
zamir8		pronouns	خودتان (خودتون)	yourself			2SG.REFL	"Plural, but can be used for singular polite context too."	خودتان (خودتون)	yourself	
zamir9		pronouns	خودش	himself			3SG.REFL		خودش	himself	
zamir10		pronouns	خودشان	themselves			3PL.REFL		خودشان	themselves	
zamir11		pronouns	خودم	by my own		myself	1SG.REFL		خودم	myself	
zamir12		pronouns	خودمان (خودمون)	ourselves			1PL.REFL		خودمان (خودمون)	ourselves	
zamir13	X7	pronouns	شما	you	you		2PL		شما	you	you
zamir14	X9	pronouns	ما	we	we		1PL		ما	we	we
zamir15	X8	pronouns	من	I	I		1SG		من	I	I
zamir16		pronouns	همان(همون)	same	same				همان(همون)	same	same
tosifi1		descriptive_words	ابی	blue	blue			The correct spelling is آبی	آبی	blue	blue
t2		descriptive_words	اخر			end		"The correct spelling is آخر. Also, the word is a noun."	آخر	end	
t3		descriptive_words	اهسته (یواش)	slow	slow			The correct spelling is آهسته	آهسته (یواش)	slow	slow
t4		descriptive_words	اذیت			bug/annoy	annoying	meaning: annoy	اذیت	annoying	
t5		descriptive_words	اول	first	first				اول	first	first
t6	W1	descriptive_words	باز	open			open (description)		باز	open	open (description)
t7		descriptive_words	بامزه	funny	funny				بامزه	funny	funny
t8	W2	descriptive_words	بد	bad	bad				بد	bad	bad
t9		descriptive_words	بد مزه	bad taste		bad-tasting	yucky	The lemma is my proposal.	بد مزه	bad-tasting	yucky
t10	W4	descriptive_words	بزرگ	big	big				بزرگ	big	big
t11	W5	descriptive_words	بسته	closed			closed (description)		بسته	closed	closed
t12		descriptive_words	بلند (صدا)	loud (sound)	loud				بلند (صدا)	loud (sound)	loud
t13		descriptive_words	بهتر	better			good		بهتر	better	
t14		descriptive_words	بیدار	awake	awake				بیدار	awake	awake
t15		descriptive_words	پاره			ripped	ripped	used mostly for paper items	پاره	ripped	
t16		descriptive_words	پر	full	full				پر	full	full
t17		descriptive_words	پیر	old	old				پیر	old	old
t18	W7	descriptive_words	تاریک	dark	dark				تاریک	dark	dark
t19		descriptive_words	تازه	new	new	new/fresh			تازه	new	new
t20		descriptive_words	ترش	sour	sour				ترش	sour	sour
t21		descriptive_words	تلخ	bitter	bitter				تلخ	bitter	bitter
t22		descriptive_words	تمیز	clean	clean (description)				تمیز	clean	clean (description)
t23	W12	descriptive_words	چاق	fat	fat				چاق	fat	fat
t24	W13	descriptive_words	خالی			empty	empty		خالی	empty	empty
t25	W16	descriptive_words	خسته	tired	tired				خسته	tired	tired
t26	W17	descriptive_words	خشک	dry	dry (description)				خشک	dry	dry (description)
t27		descriptive_words	خواب	asleep			asleep		خواب	asleep	asleep
t28		descriptive_words	خوابیده	asleep			asleep		خوابیده	asleep	asleep
t29	W20	descriptive_words	خوشحال	happy	happy				خوشحال	happy	happy
t30		descriptive_words	خوشگل	beautiful	beautiful				خوشگل	beautiful	beautiful
t31	W19	descriptive_words	خوشمزه	delicious	tasty				خوشمزه	delicious	tasty
t32		descriptive_words	خیس	wet	wet (description)				خیس	wet	wet (description)
t33	W22	descriptive_words	داغ			hot	hot		داغ	hot	hot
t34		descriptive_words	دراز (بلند)	long	long	long/tall	tall	The lemma is my proposal.	دراز (بلند)	long / tall	long
t35	W23	descriptive_words	روشن	bright		(not dark)	bright	The lemma is my proposal.	روشن	bright	bright
t36		descriptive_words	زرد			yellow	yellow		زرد	yellow	yellow
t37		descriptive_words	سبز	green	green				سبز	green	green
t38		descriptive_words	سبک			light (not heavy)	light (description)	The lemma is my proposal.	سبک	light	light (description)
t39	W26	descriptive_words	سرد	cold	cold				سرد	cold	cold
t40		descriptive_words	سریع (تند)	fast	fast				سریع (تند)	fast	fast
t41		descriptive_words	سفت	stiff		also: hard (not soft)	hard		سفت	stiff / hard	hard
t42		descriptive_words	سفید	white	white				سفید	white	white
t43		descriptive_words	سنگین	heavy	heavy				سنگین	heavy	heavy
t44		descriptive_words	سیاه	black	black				سیاه	black	black
t45		descriptive_words	شکسته	broken	broken				شکسته	broken	broken
t46		descriptive_words	شور			salty	salty		شور	salty	salty
t47		descriptive_words	شیرین	sweet	sweet				شیرین	sweet	sweet
t48	W28	descriptive_words	شیطان			naughty (child)	naughty		شیطان	naughty	naughty
t49		descriptive_words	قرمز	red	red				قرمز	red	red
t50		descriptive_words	قهوه ای	brown	brown				قهوه ای	brown	brown
t51	W29	descriptive_words	کثیف	dirty	dirty				کثیف	dirty	dirty
t52	W30	descriptive_words	کوچک	little	little (description)				کوچک	little	little (description)
t53		descriptive_words	کهنه			old	old	used for objects	کهنه	old (objects)	old
t54	W32	descriptive_words	گرسنه	hungry	hungry				گرسنه	hungry	hungry
t55		descriptive_words	گرم	hot	hot				گرم	hot	hot
t56	W33	descriptive_words	لاغر	thin	thin				لاغر	thin	thin
t57	W34	descriptive_words	مریض			sick	sick		مریض	sick	sick
t58	W36	descriptive_words	ناراحت	upset					ناراحت	upset	
t59		descriptive_words	نارنجی	orange	orange (description)				نارنجی	orange	orange (description)
t60		descriptive_words	ناز			"cute, beautiful"	cute	Many meanings. In child language: eg a child or parents can use it to describe a fluffy nice animal	ناز	cute	cute
t61		descriptive_words	نازک			thin	thin		نازک	thin	thin
t62		descriptive_words	نرم	soft	soft				نرم	soft	soft
t63		descriptive_words	نو (جدید، تازه)	new	new				نو (جدید، تازه)	new	new
horufeezafe1		locations	از	from			of		از	from	
h.e2		locations	اطراف	around			around		اطراف	around	around
h.e3		locations	انجا	there	there			The correct spelling is آنجا	آنجا	there	there
h.e4		locations	اینجا	here	here				اینجا	here	here
h.e5		locations	اونطرف	on the other side					اونطرف	on the other side	
h.e6		locations	این طرف(این ور)	this side					این طرف(این ور)	this side	
h.e7		locations	بالا(بالا ِی)	top	top				بالا(بالا ِی)	top	top
h.e8		locations	برای	to	to	also: for	also: for		برای	to	to
h.e9		locations	به	to	to				به	to	to
h.e10		locations	بیرون	outside	outside				بیرون	outside	outside
h.e11		locations	پایین	down	down				پایین	down	down
h.e12		locations	پشت	back	back				پشت	back	back (location)
h.e13		locations	جلو (جلوی)	front	front				جلو (جلوی)	front	front
h.e14		locations	داخل (توی/ در)	inside	inside				داخل (توی/ در)	inside	inside
h.e15	Z7	locations	دور	far	far				دور	far	far
h.e16		locations	دورتر	further			far		دورتر	further	
h.e17	Z8	locations	روی			on	on		روی	on	on
h.e18	Z9	locations	زیر	under	under				زیر	under	under
h.e19		locations	عقب	back	back	back/behind	behind		عقب	back / behind	behind
h.e20	Z11	locations	کنار	next to the		next to/beside	beside	The lemma is my proposal.	کنار	next to the	beside
h.e21		locations	نزدیک	close	close		close (description)	The lemma is my proposal.	نزدیک	close	near
rabt1		connecting_words	اگر	if	if				اگر	if	if
r2		connecting_words	اما (ولی)	but			but	The lemma is my proposal.	اما (ولی)	but	but
r3		connecting_words	بعد	next		next/after	then		بعد	next / after	then
r4		connecting_words	پس	so			so		پس	so	so
r5		connecting_words	چون (چون که/ زیرا/ برای اینکه)	because	because				چون (چون که/ زیرا/ برای اینکه)	because	because
r6		connecting_words	و	and	and				و	and	and
porsehi1	Y1	question_words	چرا	why	why				چرا	why	why
porsehi2		question_words	چطور	how	how				چطور	how	how
porsehi3		question_words	چیه	what	what				چیه	what	what
porsehi4		question_words	کجا	where	where (question)				کجا	where	where (question)
porsehi5		question_words	کدام	which	which (question)				کدام	which	which (question)
porsehi6		question_words	کو			where (is it)	where (question)		کو	where	where (question)
porsehi7	Y4	question_words	کِی	who	who	when	when (question)		کِی	when	when (question)
porsehi8		question_words	کی			who	who		کی	who	who
vb1		action_words	امد	come	come		come.past.3SG	The correct spelling is آمد	امد	come	come
vb2		action_words	افتاد	fall	fall		fall.past.3SG		افتاد	fall	fall
vb3		action_words	انداخت	drop	drop		drop.past.3SG		انداخت	drop	drop
vb4		action_words	ایستادن (وایسا)	stand	stand				ایستادن (وایسا)	stand	stand
vb5		action_words	باز (کردن)	open	open (action)				باز (کردن)	open	open (action)
vb6		action_words	بازی (کردن)	play	play				بازی (کردن)	play	play
vb7		action_words	باشه			ok	ok		باشه	ok	
vb8		action_words	ببر			take	take.imperative 2SG		ببر	take	take
vb9		action_words	ببند	close	close		close.imperative 2SG		ببند	close	close
vb10		action_words	ببین	look	look		look.imperative 2SG		ببین	look	look
vb11		action_words	ببینم	see	see		see.subjunctive present.1SG		ببینم	see	see
vb12		action_words	بپر	jump	jump		jump.imperative 2SG		بپر	jump	jump
vb13		action_words	بپوش	wear	wear		wear.imperative 2SG		بپوش	wear	wear
vb14		action_words	بخر	buy	buy		buy.imperative 2SG		بخر	buy	buy
vb15		action_words	بخند	laugh	laugh		laugh.imperative 2SG		بخند	laugh	laugh
vb16		action_words	بخوان	read	read		read.imperative 2SG		بخوان	read	read
vb17		action_words	بخور	eat	eat		eat.imperative 2SG		بخور	eat	eat
vb18		action_words	بخورم	eat	eat		eat.subjunctive present.1SG		بخورم	eat	eat
vb19		action_words	بدو	run	run		run.imperative 2SG		بدو	run	run
vb20		action_words	بده	give	give		give.imperative 2SG		بده	give	give
vb21		action_words	بردار			take	take.imperative 2SG		بردار	take	take
vb22		action_words	برم			go	go.subjunctive present.1SG		برم	go	go
vb23		action_words	برو	go	go		go.imperative 2SG		برو	go	go
vb24		action_words	برویم (بریم)			go	go.subjunctive present.2SG		برویم (بریم)	go	go
vb25		action_words	بریزم			pour	pour.subjunctive present.1SG		بریزم	pour	pour
vb26		action_words	بست	close	close		close.past.3SG		بست	close	close
vb27		action_words	بشور	wash	wash		wash.imperative 2SG		بشور	wash	wash
vb28		action_words	بشورم	swear		wash	wash.subjunctive present.1SG		بشورم	wash	wash
vb29		action_words	بغل کردن	hug	hug				بغل کردن	hug	hug
vb30		action_words	بکش	kill			kill	kill.imperative 2SG	بکش	kill	
vb31		action_words	بکن	do	do			do.imperative 2SG	بکن	do	do
vb32		action_words	بگو	say	say			say.imperative 2SG	بگو	say	say
vb33		action_words	بگیر	catch	catch			catch.imperative 2SG	بگیر	catch	catch
vb34		action_words	بنداز	band		throw	throw	throw.imperative 2SG	بنداز	throw	throw
vb35		action_words	بشین	sit down	sit			sit.imperative 2SG	بشین	sit down	sit
vb36		action_words	بشینم	sit	sit			sit.subjunctive present.1SG	بشینم	sit	sit
vb37		action_words	بنویس	write	write			write.imperative 2SG	بنویس	write	write
vb38		action_words	بنویسم	i write		write	write	write.subjunctive present.1SG	بنویسم	write	write
vb39		action_words	بوس کن	kiss	kiss			kiss.imperative 2SG	بوس کن	kiss	kiss
vb40		action_words	بیا	come	come			come.imperative 2SG	بیا	come	come
vb41		action_words	بیار	bring	bring			bring.imperative 2SG	بیار	bring	bring
vb42		action_words	بیدار شد	wake up			wake	wake.past 3SG	بیدار شد	wake up	wake
vb43		action_words	بیدار شو	wake up			wake	wake.imperative 2SG	بیدار شو	wake up	wake
vb44		action_words	پاره شد	tear	tear			tear.past 3SG	پاره شد	tear	tear
vb45		action_words	پا شو	stand up	stand			stand.imperative 2SG	پا شو	stand up	stand
vb46		action_words	پاک کن	erase			erase	erase.imperative 2SG	پاک کن	erase	erase
vb47		action_words	پوشید	wear	wear			wear.past 3SG	پوشید	wear	wear
vb48		action_words	پوشیدم	wear	wear			wear.past 1SG	پوشیدم	wear	wear
vb49		action_words	تاب بده	be patient		swing	swing	swing (action).imperative 2SG	تاب بده	swing	swing (action)
vb50		action_words	تمام شد	do	do	it is finished	finish	all gone /	تمام شد	finish	finish
vb51		action_words	جاروکن			sweep	sweep	sweep.imperative 2SG	جاروکن	sweep	sweep
vb52		action_words	جاروکنم			sweep	sweep	sweep.subjunctive present.1SG	جاروکنم	sweep	sweep
vb53		action_words	جمع (کردن)	add		tidy up	clean	The lemma is my proposal.	جمع (کردن)	tidy up	
vb54		action_words	حرفنزن	be quiet			hush	be quiet' is not in the back. should be written separately حرف نزن	حرف نزن	be quiet	
vb55		action_words	خراب شد	destroy		break down	destroy		خراب شد	destroy	
vb56		action_words	خرید	buy	buy				خرید	buy	buy
vb57		action_words	خواب	sleep	sleep			noun	خواب	sleep	sleep
vb58		action_words	خوابه			he/she is asleep	sleep		خوابه	sleep	sleep
vb59		action_words	خوابید	sleep	sleep				خوابید	sleep	sleep
vb60		action_words	خواندم	read	read			read.past 1SG	خواندم	read	read
vb61		action_words	خورد	eat	eat			eat.past 3SG	خورد	eat	eat
vb62		action_words	خوردم	eat	eat			eat.past 1SG	خوردم	eat	eat
vb63		action_words	خیس شد	get wet				get wet.past 3SG	خیس شد	get wet	get wet
vb64		action_words	در ار			take out	take out.imperative 2SG	correct spelling درآر	درآر	take out	take out
vb65		action_words	دربزن			knock	knock.imperative 2SG		دربزن	knock	knock
vb66		action_words	درزد			knock	knock.past 3SG		درزد	knock	knock
vb67		action_words	درست کن	fix			fix.imperative 2SG	‘fix’ is not in the bank.	درست کن	fix	fix
vb68		action_words	دستبزن	clap	clap		clap.imperative 2SG	should be written separately دست بزن	دست بزن	clap	clap
vb69		action_words	دستزد	touch	touch		touch.past 3SG		دستزد	touch	touch
vb70		action_words	دستنزن	not touch		or: hands off	not touch.imperative 2SG	not touch' is not in the bank. should be written separately دست نزن	دستنزن	not touch	
vb71		action_words	دیدی	see	see		see.past 2SG		دیدی	see	see
vb72		action_words	رفت	go	go		go.past 3SG		رفت	go	go
vb73		action_words	رنگ کن	paint	paint (action)		paint (action).imperative 2SG		رنگ کن	paint	paint (action)
vb74		action_words	رنگ کنم	paint	paint (action)		piant (action).subjunctive present.1SG		رنگ کنم	paint	paint (action)
vb75		action_words	روشنشد	turn on	turn on		turn on.past 3SG	written separately روشن شد	روشنشد	turn on	turn on
vb76		action_words	ریخت	pour	pour		pour.past 3SG		ریخت	pour	pour
vb77		action_words	زد	fall	fall	hit	hit.past 3SG		زد	fall	fall
vb78		action_words	ساکت	be silent		quiet	quietly		ساکت	be silent	be quiet
vb79		action_words	سوار شو	get on	get on		get on.imperative 2SG		سوار شو	get on	get on
vb80		action_words	سوخت	fuel		burn	burn.past 3SG	‘burn’ is not in the bank.	سوخت	burn	
vb81		action_words	سیر شدم	be full			be full.past 1SG	‘be full’ is not in the bank.	سیر شدم	be full	
vb82		action_words	شستم			wash	wash.past 1SG		شستم	wash	wash
vb83		action_words	شکست	fail		break	break.past 3SG		شکست	break	break
vb84		action_words	شنا( کردن)	swim	swim				شنا( کردن)	swim	swim
vb85		action_words	شوت (کردن)	shoot			shoot	As in 'shoot a ball'. The lemma is my proposal.	شوت (کردن)	shoot (a ball)	kick
vb86		action_words	صبر کن	wait	wait		wait.imperative 2SG		صبر کن	wait	wait
vb87		action_words	قلقلک (کردن)	tickle	tickle				قلقلک (کردن)	tickle	tickle
vb88		action_words	فوت کن	die	die	blow	blow.imperative 2SG		فوت کن	blow	blow
vb89		action_words	قایم شو	stand up	stand	hide	hide.imperative 2SG		قایم شو	hide	hide
vb90		action_words	کشیدم	draw	draw	also: pull	draw OR pull.past 1SG		کشیدم	draw / pull	draw
vb91		action_words	کمک (کردن)	help	help				کمک (کردن)	help	help
vb92		action_words	گاز ( گرفتن)	bite	bite				گاز ( گرفتن)	bite	bite
vb93		action_words	گریه کن	cry	cry		cry.imperative 2SG		گریه کن	cry	cry
vb94		action_words	گوش کن (گوش بده)	listen	listen		listen.imperative 2SG		گوش کن (گوش بده)	listen	listen
vb95		action_words	می خوانم	read	read		read.present 1SG		می خوانم	read	read
vb96		action_words	میزنم	hit	hit		hit.present 1SG		میزنم	hit	hit
vb97		action_words	نرو	not go		stay	stay.imperative 2SG		نرو	stay	stay
vb98		action_words	نشست	meet		sit	sit.past 3SG		نشست	sit	sit
vb99		action_words	نشستم	sit	sit		sit.past 1SG		نشستم	sit	sit
vb100		action_words	نقاشی (کردن)	paint	paint (action)				نقاشی (کردن)	paint	paint (action)
vb101		action_words	نکن	do not		"not do, stop"	stop	stop.imperative 2SG	نکن	stop	stop
vb102		action_words	نگاه کن	look	look		look	look.imperative 2SG	نگاه کن	look	look
vb103		action_words	نگاه می کنم	look	look		look	look.present 1SG	نگاه می کنم	look	look
vb104		action_words	نیست	is not		not be		be.present 3SG(NEGATIVE)	نیست	not be	
vb105		action_words	نماز (خواندن)	pray					نماز (خواندن)	pray	
vb106		action_words	هل داد	push	push		push	push.past 3SG	هل داد	push	push
aux1		helping_verbs	بود	was		be	be	be.past 3SG	بود	(he) was	be
aux2		helping_verbs	بودم	i was		be	be	be.past 1SG	بودم	(I) was	be
aux3		helping_verbs	بودند	they were		be	be	be.past 3PL	بودند	(they) were	be
aux4		helping_verbs	بودی	were you		be	be	be.past 2SG	بودی	(you) were	be
aux5		helping_verbs	بودیم	we were		be	be	be.past 1PL	بودیم	(we) were	be
aux6		helping_verbs	دارم	i have		have	have	have.present 1SG	دارم	(I) have	have
aux7		helping_verbs	داری	you have			have	have.present 2SG	داری	(you) have	have
aux8		helping_verbs	دارند	have	have		have	have.present 3SG	دارند	(he) has	have
aux9		helping_verbs	دارید	you have			have	have.present 2PL	دارید	(you) have	have
aux10		helping_verbs	داریم	we have			have	have.present 1PL	داریم	(we) have	have
aux11		helping_verbs	می خواهم	i want		want	want	want' is not in the bank	می خواهم	(I) want	want
aux12		helping_verbs	می خواهی	do you want		want	want	want.present 2SG	می خواهی	(you) want	want
aux13		helping_verbs	می خواهیم	we want		want	want	want.present 1PL	می خواهیم	(we) want	want
aux14		helping_verbs	نمی دهم	i do not give		give	give	give.present 1SG.NEGATIVE	نمی دهم	(I do) not give	
aux15		helping_verbs	نمی دهد	he does not give		give	give	give.present 3SG.NEGATIVE	نمی دهد	(he does) not give	
aux16		helping_verbs	نمی دهی	you do not give		give	give	give.present 2SG.NEGATIVE	نمی دهی	(you do) not give	
aux17		helping_verbs	نمی دهید	you do not give		give	give	give.present 2PL.NEGATIVE	نمی دهید	(you do) not give	
aux18		helping_verbs	نمی دهیم	we do not give		give	give	give.present 1PL.NEGATIVE	نمی دهیم	(we do) not give	
aux19		helping_verbs	نمی خواهم	i do not want		want	want	want.present 1SG.NEGATIVE	نمی خواهم	(I do) not want	
aux20		helping_verbs	نمی خواهی	do not you want		want	want	want.present 2SG.NEGATIVE	نمی خواهی	(you do) not want	
aux21		helping_verbs	نمی خواهیم	we do not want		want	want	want.present 1PL.NEGATIVE	نمی خواهیم	(we do) not want	
	S1	sounds	آخ	ah		ouch; oh; ah	ouch		آخ	ouch	ouch
	S2	sounds	اَخ/ اَه/ کخ/گخ			ouch; oh; ah	ouch		اَخ/ اَه/ کخ/گخ	ouch	ouch
	S3	sounds	بَه بَه / م...م			yummy	yum yum		بَه بَه / م...م	yum yum	yum yum
	S4	sounds	بع بع	baa baa	baa baa				بع بع	baa baa	baa baa
	S5	sounds	بیب بیب	beep beep	beep beep				بیب بیب	beep beep	beep beep
	S6	sounds	پیف			pew		(used for bad smell) The lemma is my proposal.	پیف	pew (bad smell)	
	S7	sounds	جیز/اُخ/ اُخه				ouch	The first one is an interjection for hot things (that hurt) like fire. The second and the thrid one might be used in a similar way. 	جیز/اُخ/ اُخه	ouch	ouch
	S8	sounds	جیک جیک	chirp				The lemma is my proposal.	جیک جیک	chirp	
	S9	sounds	میو میو	meow meow	meow				میو میو	meow meow	meow
	S10	sounds	وای	oops				Can have differnet meaning. Eg see item 2.	وای	oops	
	S11	sounds	هاپ هاپ	hop hop		woof woof	woof woof		هاپ هاپ	woof woof	woof woof
	S12	sounds	هوهو چی چی			choo choo	choo choo	sound of train	هوهو چی چی	choo choo	choo choo
	N1	animals	آهو	gazelle			gazelle	same as 130	آهو	gazelle	
	N6	animals	پرنده/ توتو	bird	bird				پرنده/ توتو	bird	bird
	N7	animals	پنگوئن	penguin	penguin				پنگوئن	penguin	penguin
	N9	animals	حشره	insect			bug		حشره	insect	bug
	N19	animals	شیر	lion	lion				شیر	lion	lion
	N20	animals	غاز	goose	goose				غاز	goose	goose
	O2	vehicles	دوچرخه	bike	bicycle				دوچرخه	bike	bicycle
	O5	vehicles	کشتی / قایق	ship/boat	boat				کشتی / قایق	ship/boat	boat
	P1	toys	اسباب بازی	toy	toy (object)				اسباب بازی	toy	toy (object)
	P3	toys	تفنگ	gun			gun	The lemma is my proposal.	تفنگ	gun	gun
	P5	toys	جغجغه			rattle	rattle (object)		جغجغه	rattle	rattle (object)
	P6	toys	عروسک	dolls	doll				عروسک	dolls	doll
	P7	toys	کتاب	book	book				کتاب	book	book
	P8	toys	مکعب/ لگو	cube/lego	blocks				مکعب/ لگو	cube/lego	blocks
	F1	food_drink	آب	water	water (beverage)				آب	water	water (beverage)
	F2	food_drink	آب میوه	juice	juice				آب میوه	juice	juice
	F3	food_drink	آب نبات/ شکلات	candy/chocolate	candy				آب نبات/ شکلات	candy/chocolate	candy
	F4	food_drink	آش				stew (food)	same as 36	آش	stew	
	F5	food_drink	برنج/ پلو	rice	rice				برنج/ پلو	rice	rice
	F11	food_drink	تخم مرغ	egg	egg				تخم مرغ	egg	egg
	F13	food_drink	سوپ	soup	soup				سوپ	soup	soup
	F14	food_drink	سیب	apple	apple				سیب	apple	apple
	F15	food_drink	شربت	syrup			juice	same as 70	شربت	syrup	
	F16	food_drink	شیر	lion	lion				شیر	lion	lion
	F17	food_drink	شیرینی	sweets	candy				شیرینی	sweets	candy
	F18	food_drink	غذا	food	food				غذا	food	food
	F19	food_drink	قند	sugar loaf			sugar	see 78	قند	sugar	sugar
	F20	food_drink	کیک	cake	cake				کیک	cake	cake
	F21	food_drink	گردو	walnut			walnut	see 86	گردو	walnut	
	F22	food_drink	گوشت	meat	meat				گوشت	meat	meat
	F23	food_drink	ماهی	fish	fish (food)				ماهی	fish	fish (food)
	F25	food_drink	مربا	jam	jam				مربا	jam	jam
	F26	food_drink	موز	banana	banana				موز	banana	banana
	F27	food_drink	میوه	fruit	fruit				میوه	fruit	fruit
	F28	food_drink	نان	bread	bread				نان	bread	bread
	F29	food_drink	نوشابه	soda	soda				نوشابه	soda	soda
	F30	food_drink	هویج	carrots	carrots		carrot		هویج	carrots	carrot
	J5	clothing	تسبیح	rosary			rosary		تسبیح	rosary	
	J9	clothing	دامن	skirt	skirt				دامن	skirt	skirt
	J10	clothing	دمپایی	slippers	slipper				دمپایی	slippers	slipper
	J19	clothing	کفش	shoe	shoe				کفش	shoe	shoe
	K4	body_parts	بدن/ تن	body			body	The lemma is my proposal.	بدن/ تن	body	body
	K5	body_parts	بینی	nose	nose				بینی	nose	nose
	K11	body_parts	دل/ شکم			belly	belly button		دل/ شکم	belly	tummy
	K13	body_parts	سر / کله	head	head				سر / کله	head	head
